SquareFootage,NumBathrooms,NumBedrooms,CrimeRate,SchoolRating,AgeOfHome,DistanceToCityCenter,EmploymentRate,PropertyTaxRate,RenovationQuality,LocalAmenities,TransportAccess,Price
904.42,1.063157929,3,30.02,5.32,59.97,20.21,86.83,1.33,5.5,3.7,8.75,207601.5597
786.1,2.063828338,3,45.49,6.83,28.69,10.89,99.9,1.23,6.65,5.89,8.34,294738.4393
599.5,1.943180052,4,19.0,6.79,33.63,9.61,97.69,1.52,3.7,7.35,6.52,227381.0904
1942.55,1.158213458,3,23.0,5.33,23.49,3.66,89.5,1.65,6.71,7.76,4.28,266314.2278
782.67,1.30604173,4,33.65,6.26,41.73,20.43,94.48,1.59,6.13,7.34,7.84,216118.7539
652.25,1.0,3,36.47,6.67,17.09,39.98,86.21,0.83,4.05,2.72,4.94,154249.565
550.0,2.251272627,2,77.31,6.36,54.34,33.38,99.13,1.77,5.21,2.8,4.54,157152.5847
1353.38,2.621227163,3,20.85,9.16,50.78,8.75,99.26,0.94,5.93,6.32,6.16,498424.3949
1096.07,3.251896741,5,32.66,9.92,23.02,35.14,80.68,1.68,5.49,0.67,4.8,466401.4281
1815.46,1.0,2,19.91,5.11,27.17,29.64,89.83,1.54,4.14,6.37,7.72,176935.0647
1635.4,5.741850727,3,10.9,10.0,36.0,0.94,89.6,0.65,10.0,10.0,5.63,677502.42
550.0,1.480022478,3,59.07,5.8,1.22,13.89,90.79,0.52,3.86,5.42,5.19,205482.8076
1281.8,3.396545189,3,50.4,7.34,85.11,2.22,90.12,1.15,8.09,7.9,4.57,297285.8169
879.48,3.285003421,4,27.8,8.79,10.4,6.69,99.9,1.54,4.86,4.75,7.27,328445.3249
651.05,1.137989506,4,62.73,7.32,38.07,33.26,91.7,1.61,3.13,1.06,5.77,191718.172
1014.76,1.335578837,1,32.66,8.91,26.06,21.16,89.17,1.73,4.14,5.53,5.62,221530.8266
550.0,1.908902833,5,43.0,8.6,18.48,1.25,98.51,0.44,6.14,3.6,6.32,323895.5717
730.03,1.840518688,2,71.7,6.72,57.13,26.99,91.6,2.07,5.41,9.48,5.79,183107.5642
733.87,2.063996483,1,61.01,1.77,8.42,15.59,86.9,1.74,5.97,1.08,1.48,239464.1044
1426.81,2.316594624,2,56.06,8.0,0.84,6.24,99.48,0.93,4.97,8.97,9.22,454868.9924
1004.76,1.380654948,2,30.1,3.89,29.4,21.78,99.11,1.45,3.56,0.66,3.9,249935.6617
1689.85,3.543602099,3,38.78,9.09,83.27,5.49,99.49,1.11,8.25,5.21,7.16,329601.4479
1840.34,2.703298937,1,47.4,7.94,79.06,13.49,96.53,1.48,5.08,8.94,5.35,244662.9562
1131.43,1.048292917,4,44.31,7.86,56.62,12.07,83.64,1.82,5.61,4.86,6.75,216972.8449
1002.54,1.506268597,1,38.16,5.66,70.78,14.73,90.61,1.8,2.83,5.31,5.19,129516.0104
1470.97,2.175998385,4,44.06,6.49,72.28,5.73,92.19,1.83,5.25,10.0,6.77,300684.2367
773.57,1.934582682,5,7.52,10.0,33.66,24.91,99.9,2.18,7.39,5.01,6.12,590190.2551
1272.43,2.760052986,4,41.68,8.03,88.79,9.64,87.94,1.14,5.03,1.32,3.98,305738.6039
550.0,3.609525564,3,3.34,8.9,49.7,19.18,94.73,2.13,4.47,6.96,5.38,315163.4511
550.0,2.639536292,4,41.35,8.14,54.3,25.43,89.63,1.29,3.93,6.09,2.43,169398.5841
1293.03,1.157028832,3,48.02,5.6,20.85,30.95,90.46,2.01,4.92,4.91,5.7,239449.537
1768.98,1.186842402,2,38.64,5.76,50.39,20.5,90.62,0.78,3.95,2.67,5.14,264995.9968
678.96,1.69632144,3,11.45,5.97,6.65,4.07,86.27,1.79,3.83,8.46,8.3,239748.4523
550.0,2.078676674,2,0.81,7.86,42.06,16.87,98.28,2.09,5.35,8.04,6.73,164942.1664
1443.7,1.302434325,4,24.69,7.21,67.64,0.93,91.46,1.51,3.19,4.67,4.95,474085.9329
1103.66,1.0,2,56.37,4.7,32.24,27.74,92.17,1.75,2.39,4.68,7.25,221518.9252
1487.78,1.275482758,3,19.82,8.5,7.82,11.6,99.9,1.65,6.47,5.84,7.36,313625.2758
550.0,1.0,3,37.37,5.56,59.08,59.71,99.9,1.25,2.63,2.32,9.0,197659.791
1584.58,3.362106368,5,15.3,7.45,18.74,3.11,86.05,1.32,5.85,9.87,7.07,421852.2768
1443.74,1.967673886,1,5.5,10.0,38.0,6.66,95.61,1.39,4.37,2.79,4.53,186449.6369
550.0,4.155436811,4,3.66,9.49,43.87,3.35,94.42,1.43,7.07,9.66,8.37,415443.2647
890.77,3.102525723,4,28.89,8.95,5.99,5.94,99.9,1.42,5.29,6.22,3.68,336364.0082
1115.97,1.923727113,5,20.35,7.28,48.01,28.38,93.12,3.15,4.01,3.06,4.15,254493.4606
1040.56,1.0,3,8.89,10.0,32.37,12.19,99.9,0.79,8.66,10.0,6.51,394191.4072
713.17,1.768622862,3,53.55,4.7,79.27,41.13,97.9,1.79,4.95,6.28,9.6,283290.1531
550.0,2.459170586,3,38.43,6.31,26.62,20.9,94.42,1.98,2.66,0.97,6.36,252869.9017
550.0,1.0,1,62.92,3.54,141.84,19.99,94.52,0.97,0.6,1.84,3.25,394620.5868
669.92,2.695185411,2,73.91,6.47,117.9,18.77,95.31,1.87,4.44,2.28,6.35,101705.4364
550.0,3.073354242,3,23.46,5.76,59.79,5.61,83.73,0.92,2.29,2.59,8.01,243122.8524
1210.5,1.0,3,34.55,8.44,69.62,23.63,90.42,0.78,3.47,8.12,3.64,283060.7469
966.84,3.345799806,3,13.61,6.57,34.79,27.92,86.4,1.94,6.09,8.74,6.95,285884.5054
1262.83,1.301229666,2,46.48,4.57,86.7,21.21,92.59,1.87,4.92,1.3,2.11,111529.805
550.0,1.0,3,23.82,6.09,40.43,33.79,96.8,2.18,5.28,8.25,6.51,137458.5869
550.0,3.108462395,4,8.8,9.06,45.26,1.29,98.7,1.44,5.22,4.95,4.9,346701.7911
621.77,1.767147022,3,63.54,5.3,81.6,33.91,88.38,1.43,3.54,10.0,4.95,271846.2022
890.09,2.777984747,4,62.7,10.0,54.09,8.36,95.33,1.77,6.93,8.59,8.5,498851.7088
813.78,1.920830835,4,54.84,8.76,23.53,31.5,92.59,0.72,7.03,4.89,5.16,397277.2679
985.36,1.726943989,3,55.3,7.33,19.91,12.92,98.08,1.37,5.56,3.1,2.21,317104.3559
1081.25,3.443553489,4,12.81,10.0,55.59,6.1,92.93,1.77,7.63,1.66,3.45,436059.7709
1339.86,1.879798173,6,48.16,9.41,47.76,13.5,96.24,1.75,7.2,9.83,5.31,591424.2005
550.0,1.0,2,52.25,4.44,101.6,31.63,90.11,0.86,3.73,3.99,7.35,103851.1588
1637.19,1.0,4,4.91,10.0,15.44,5.46,99.41,1.13,6.94,7.45,9.85,431148.7435
594.6,1.0,3,34.0,5.32,114.32,39.35,89.87,1.43,5.36,3.06,6.24,263045.3486
2229.45,3.008798315,4,50.44,10.0,53.9,6.3,99.9,1.88,8.34,7.11,6.43,478614.6645
1849.9,4.053479115,2,13.23,6.69,34.48,42.9,92.43,1.41,8.64,6.33,3.05,339258.4368
550.0,2.480632076,3,54.42,7.51,2.22,19.67,94.39,1.66,3.29,6.49,4.41,198274.6968
1212.22,1.0,4,12.2,6.54,48.11,17.37,89.19,1.81,5.54,10.0,7.69,452624.6154
816.16,1.793404252,2,1.27,6.35,61.14,24.52,92.5,2.51,4.26,6.5,8.11,193488.1005
911.18,1.605692896,3,55.34,8.12,4.54,34.5,95.44,1.2,5.31,4.49,2.95,337853.9979
967.5,1.907266685,1,56.21,9.2,32.92,30.64,89.77,1.74,4.31,6.0,5.87,135238.8633
1216.56,2.209331184,4,8.96,9.57,69.65,20.57,98.1,1.04,7.79,9.46,8.15,492082.8928
1681.58,1.656776075,3,18.3,6.92,27.82,3.68,98.53,2.32,10.0,8.26,6.39,606218.4322
550.0,2.351374466,2,9.25,6.43,59.29,11.77,93.02,1.77,2.88,2.88,3.65,107024.1718
550.0,2.341396596,2,48.67,8.34,29.18,28.92,89.8,0.86,7.66,5.63,6.92,129603.5386
1115.75,2.317665663,2,39.5,5.37,40.24,8.35,91.07,1.23,4.88,6.98,8.32,301378.5948
550.0,1.0,4,30.39,7.19,38.93,1.26,85.09,1.6,3.43,2.6,6.62,213942.7096
793.35,1.0,1,34.88,7.42,59.11,18.17,96.45,1.64,6.03,5.18,2.01,165425.0982
550.0,3.060359665,2,54.61,7.06,70.55,16.36,99.9,1.53,3.51,4.1,5.04,139812.5241
550.0,1.0,4,29.73,5.97,63.84,1.71,99.24,1.23,5.92,10.0,8.72,242757.0393
550.0,1.384784537,3,47.83,7.76,55.92,27.33,86.66,0.77,3.2,0.49,2.76,265594.885
550.0,2.611916545,1,17.7,5.14,5.79,16.49,89.02,1.02,3.71,10.0,6.44,172692.171
710.01,2.690295665,4,3.23,5.37,45.29,22.83,95.14,1.52,6.18,7.03,8.05,445123.7902
550.0,1.748838273,2,23.71,6.43,10.11,29.45,88.13,1.2,3.99,3.9,3.69,125803.2263
550.0,3.509578535,3,6.52,10.0,99.07,31.77,99.9,1.27,6.06,1.51,6.5,203073.0997
2084.71,3.364524651,2,38.97,9.27,53.43,0.89,97.56,1.26,9.76,10.0,8.1,495641.0722
550.0,1.064643868,3,8.28,5.93,16.8,43.13,86.5,1.26,3.36,5.46,6.99,113167.6128
